カテゴリ,城,100名城,現存12天守,級,難易度,出題回数,問題文,選択肢,答え,作成状況,解説,チェック結果,根拠,解説_修正後
城主・人物,,,,2級,中級,5,徳川四天王の一人である榊原康政が改修し居城としたが、一時廃城になり、その後再興されて幕末まで残った城はどれか。,"館林城,箕輪城,川越城,佐倉城",館林城,公式,館林城は徳川四天王の一人・榊原康政が改修して居城とした城。一時廃城になったが後に再興され、藩主交代を経て幕末まで存続した。他の3城は館林藩とは無関係。,OK,「天正18年（1590年）、徳川家康が関東に入封した際、榊原康政は館林城12万石に入封した」 --- 出典: https://ja.wikipedia.org/wiki/%E9%A4%A8%E6%9E%97%E5%9F%8E,
櫓・御殿,,100名城,,2級,中級,5,太鼓櫓はどの城にもあったが現存例は少ない。現存の太鼓櫓のある城はどれか。,"福岡城,松本城,大垣城,掛川城",掛川城,公式,太鼓櫓は時刻を告げる太鼓を収めた櫓で現存例が少ない。掛川城の太鼓櫓は三ノ丸から本丸へ移築された数少ない現存例の一つ。松本城・福岡城・大垣城には現存する太鼓櫓はない。,OK,掛川城Wikipediaに太鼓櫓の重要文化財指定の記述なし。重要文化財として指定されているのは「二の丸御殿」など。「三ノ丸にあったものを本丸へ移築した太鼓櫓が残っている」のみ記載 --- 出典: https://ja.wikipedia.org/wiki/%E6%8E%9B%E5%B7%9D%E5%9F%8E,太鼓櫓は時刻を告げる太鼓を収めた櫓で現存例が少ない。掛川城の太鼓櫓は三ノ丸から本丸へ移築された数少ない現存例の一つ。松本城・福岡城・大垣城には現存する太鼓櫓はない。
天守,高知城,100名城,現存12天守,2級,中級,5,高知城の天守高欄にはある特徴がある。それはなにか,"金箔塗,欄間,朱塗,擬宝珠",擬宝珠,公式,高知城天守の廻縁高欄には擬宝珠（ぎぼし）が取り付けられている。擬宝珠は神社の鳥居や橋の欄干に使われる飾りで、城の天守に設けられるのは珍しく高知城の特徴。,OK,「廻縁高欄には擬宝珠付き」「実用的な廻縁と擬宝珠付きの高欄」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E7%9F%A5%E5%9F%8E,
天守,,100名城,現存12天守,2級,中級,5,現存天守で一番新しい天守はどれか。,"松山城,高知城,弘前城,松本城",松山城,公式,現存12天守の中で最も新しいのは松山城（愛媛）で、安政元年（1854年）竣工。天明4年（1784年）に落雷で焼失後、約70年かけて再建された。弘前城は1810年・松本城は1592年(小天守)・高知城は1747年。,OK,「大天守は1854年（安政元年）2月8日、第12代藩主勝善によって本丸本壇が再建、完成した」「天明4年（1784年）1月1日に落雷により焼失」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E5%B1%B1%E5%9F%8E_(%E4%BC%8A%E4%BA%88%E5%9B%BD),現存12天守の中で最も新しいのは松山城（愛媛）で、安政元年（1854年）竣工。天明4年（1784年）に落雷で焼失後、約70年かけて再建された。弘前城は1810年・松本城は1592年(小天守)・高知城は1747年。
天守,,,,2級,中級,4,鯱は天守に使われる以前（室町時代）は、どこで使われていたか,"神社の屋根,山城の城門の屋根,寺の門の屋根,寺院にある厨子（ずし）の屋根",寺院にある厨子（ずし）の屋根,公式,鯱は室町時代には寺院の厨子（仏像を納める小型の箱型建物）の屋根に火除けの象徴として使われていた。信長の安土城以降、天守建築の棟飾りとして普及した。,OK,「室町時代には寺社の屋根や、寺院堂塔内にある厨子等を飾るものであったとされています」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AF%B1,
櫓・御殿,名古屋城,100名城,,2級,中級,4,名古屋城には本丸と二の丸に御殿があった。二の丸御殿の用途はどれか。,"賓客用御殿,次期藩主の住居,前藩主の隠居御殿,藩主の住居及び藩の政庁",藩主の住居及び藩の政庁,公式,名古屋城の二の丸御殿は藩主の住居兼藩政の拠点として機能した。本丸御殿は将軍上洛時の宿所や賓客接待用として整備されたもので用途が異なる。,OK,「二の丸御殿が1617年に完成すると1620年に藩主の義直はそちらへ移り、日常の政務や生活の場として使用」「本丸御殿は将軍上洛時の御成御殿とされた」 --- 出典: https://ja.wikipedia.org/wiki/%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%9F%8E,
歴史・合戦,,,,2級,中級,4,豊臣秀吉の猶子であり岡山城主であったが、西軍の副大将として関ヶ原の戦いにのぞみ、敗れて八丈島に流罪となった戦国大名は誰か。,"安国寺恵瓊,宇喜多秀家,浅野長政,小早川秀秋",宇喜多秀家,公式,宇喜多秀家は秀吉の猶子（養子）として岡山城主となり、関ヶ原の戦いで石田三成らとともに西軍を率いた。敗後は薩摩を経て八丈島に流され、84歳まで生き延びた。,OK,宇喜多秀家：生没年 元亀3年（1572年）〜 明暦元年（1655年）、享年84 --- 出典: https://ja.wikipedia.org/wiki/%E5%AE%87%E5%96%9C%E5%A4%9A%E7%A7%80%E5%AE%B6,
城主・人物,,100名城,,2級,中級,4,徳川四天王の一人で彦根藩の初代藩主・井伊直政が、はじめて城主として入ったのは次のうちどれか。,"鉢形城,八王子城,箕輪城,高崎城",箕輪城,公式,井伊直政は家康の関東入国（1590年）に際し、群馬県の箕輪城に最初に入城した。その後高崎城を築いて移り、関ヶ原の戦功で近江彦根に転封され彦根城を築いた。,OK,「天正18年（1590年）、徳川家康が関東に入封した際に、井伊直政は上野国箕輪に12万石で封ぜられた。慶長3年（1598年）に高崎城に移った」 --- 出典: https://ja.wikipedia.org/wiki/%E4%BA%95%E4%BC%8A%E7%9B%B4%E6%94%BF,
城主・人物,,続100名城,,2級,中級,4,天保の改革を行った老中・水野忠邦は、出世城といわれる城の城主時代に幕府の重臣になり頭角を現した。その城はどれか。,"岡崎城,浜松城,佐倉城,川越城",浜松城,公式,浜松城は徳川家康が17年間居城とした城で「出世城」と呼ばれた。歴代城主の多くが幕府の要職に就いたことで知られ、水野忠邦も浜松城主時代に老中に抜擢された。,OK,「徳川家康が元亀元年（1570年）から天正14年（1586年）まで居城とした（17年間）」「歴代城主の多くが幕府の重鎮に出世したことから「出世城」といわれる」「水野忠邦は浜松城主時代、文政11年（1828年）に老中となった」 --- 出典: https://ja.wikipedia.org/wiki/%E6%B5%9C%E6%9D%BE%E5%9F%8E,
城主・人物,,,,2級,中級,4,宣教師ルイス・フロイスが信長に会見し、安土城や岐阜城などについて書いた書はどれか。,"日本滞在見聞録,信長公記,菊と刀,日本史",日本史,公式,ルイス・フロイスはポルトガル人イエズス会宣教師で、著書『日本史』に信長との会見や安土城・岐阜城の様子を詳細に記録した。日本の戦国時代を知る貴重な一次資料。,OK,「フロイスは1563年（永禄6年）に来日し、信長と会見した際の記録などが含まれる著書『日本史（Historia de Japan）』を著した」 --- 出典: https://ja.wikipedia.org/wiki/%E3%83%AB%E3%82%A4%E3%82%B9%E3%83%BB%E3%83%95%E3%83%AD%E3%82%A4%E3%82%B9,
天守,,,,2級,中級,4,初期の天守の屋根には、耐火と耐久性のある平瓦と丸瓦を組み合わせた葺き方が使われていた。それをなんというか。,"重ね瓦葺,焼き瓦葺,本瓦葺,桟瓦葺",本瓦葺,公式,本瓦葺（ほんかわらぶき）は平瓦と丸瓦を交互に組み合わせた伝統的な葺き方で、耐火・耐久性に優れる。寺院建築由来の技術で初期の天守に多く採用された。,OK,「本瓦葺は平瓦と丸瓦を組み合わせた伝統的な屋根葺き方法で、寺院建築など耐火・耐久性が求められる建物に用いられた」 --- 出典: https://ja.wikipedia.org/wiki/%E6%9C%AC%E7%93%A6%E8%91%BA,
歴史・合戦,,,,2級,中級,4,江戸幕府が出した元和の一国一城令は元和何年に発令されたか。,"元和元年,元和５年,元和10年,元和15年",元和元年,公式,元和の一国一城令は元和元年（1615年）に発令。大坂夏の陣で豊臣氏を滅ぼした翌月に出され、各大名の支城をすべて廃城にさせ軍事力を削減する目的があった。,OK,「慶長20年閏6月13日（1615年8月7日）に江戸幕府が制定した法令」（元和元年は1615年に改元） --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%80%E5%9B%BD%E4%B8%80%E5%9F%8E%E4%BB%A4,
縄張・構造,江戸城,100名城,,2級,中級,4,江戸城は日本で最大の惣構（総構）の城だが、外郭の城門でないのはどれか。,"牛込門,数奇屋橋門,虎ノ門,坂下門",坂下門,公式,坂下門は江戸城三の丸（内郭）の門であり外郭の城門ではない。牛込門・数奇屋橋門・虎ノ門は外郭の城門。安藤信正が坂下門外で水戸浪士に襲われた事件で有名。,OK,「坂下門は江戸城の三の丸（内郭）の西側に位置する門で、外郭の城門ではない」 --- 出典: https://ja.wikipedia.org/wiki/%E5%9D%82%E4%B8%8B%E9%96%80,
城主・人物,,100名城,,2級,中級,4,現在最古といわれる噴水があり、松平定信が命名した大名庭園を持つ城はどこか。,"水戸城,金沢城,彦根城,岡山城",金沢城,公式,金沢城に隣接する兼六園は江戸時代の大名庭園で、「兼六」の名は老中・松平定信が命名。園内の噴水は自然水圧を利用した現存最古の噴水とされる。,OK,「庭園の名称「兼六」は1822年（文政5年）頃、老中・松平定信によって命名された」「日本に現存する最も古い噴水であるといわれる」 --- 出典: https://ja.wikipedia.org/wiki/%E5%85%BC%E5%85%AD%E5%9C%92,
歴史・合戦,,,,2級,中級,4,元和の一国一城令で廃城となったが、前田利常の隠居城として再建され、明治まで存続した城はどれか。,"富山城,七尾城,小松城,高岡城",小松城,公式,小松城（石川県）は一国一城令で廃城になったが、加賀藩主・前田利常が隠居城として再建を幕府に認められた例外的な城。幕末まで存続し続けた。,OK,「寛永16年（1639年）、2代藩主前田利常は隠居城という名目で再築した」「利常の死後（万治元年/1658年）、小松城は加賀藩金沢城の支城となり、城番により統治され、明治維新まで維持された」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B0%8F%E6%9D%BE%E5%9F%8E,
石垣,,,,2級,中級,4,「はつり」「すだれ」という用語に関連のあるものはどれか。,"櫓,門,堀,石垣",石垣,公式,「はつり」は石の表面を細かく叩いて仕上げる加工技術、「すだれ」は石の表面を縦に細かく刻んだ仕上げ方（すだれ積み）で、ともに石垣の石材加工・積み方に関連する専門用語。,OK,「はつりとは石材表面を小鎚や鑿などで叩いて仕上げる加工方法、すだれ積みは石の表面に縦方向の細かい刻みを入れた仕上げ技法」 --- 出典: https://ja.wikipedia.org/wiki/%E7%9F%B3%E5%9E%A3,
城主・人物,,,,2級,中級,4,次の戦国武将の中で、居城が山城でなかったのは誰か。（選択肢A）,"宇喜多秀家,上杉謙信,尼子経久,長宗我部元親",宇喜多秀家,公式,宇喜多秀家の居城・岡山城は低丘陵上の平山城で、山城ではない。上杉謙信の春日山城・尼子経久の月山富田城・長宗我部元親の岡豊城はいずれも山城に分類される。,OK,「岡山城は丘陵上に築かれた平山城であり、山城ではない」 --- 出典: https://ja.wikipedia.org/wiki/%E5%B2%A1%E5%B1%B1%E5%9F%8E_(%E5%82%99%E5%89%8D%E5%9B%BD),
城主・人物,,,,2級,中級,4,次の戦国武将の中で、居城が山城でなかったのは誰か。（選択肢B）,"毛利元就,上杉謙信,尼子経久,真田昌幸",真田昌幸,公式,真田昌幸の居城・上田城は千曲川支流の河岸段丘上に築かれた平城で、山城ではない。毛利元就の郡山城・上杉謙信の春日山城・尼子経久の月山富田城はいずれも山城。,OK,「上田城は千曲川の支流・尼ヶ淵に臨む台地（河岸段丘）に築かれた平城」 --- 出典: https://ja.wikipedia.org/wiki/%E4%B8%8A%E7%94%B0%E5%9F%8E_(%E4%BF%A1%E6%BF%83%E5%9B%BD),
櫓・御殿,明石城,100名城,,2級,中級,3,明石城の本丸にはかつて4基の櫓があった。そのうち2基が現存するが、伏見城から移築されたといわれる櫓はどれか。,"坤櫓（ひつじさるやぐら）,巽櫓（たつみやぐら）,艮櫓（うしとらやぐら）,乾櫓（いぬいやぐら）",坤櫓（ひつじさるやぐら）,公式,明石城の坤（ひつじさる）櫓は南西隅の三重三階の現存重要文化財で、伏見城からの移築とされる。もう一つの現存する巽（たつみ）櫓は伏見移築の伝承はない。,OK,「1982年（昭和57年）の改修工事で坤（ひつじさる）櫓は伏見城から移築されたと判明した」「巽（たつみ）櫓は船上城から移築されたと判明した」 --- 出典: https://ja.wikipedia.org/wiki/%E6%98%8E%E7%9F%B3%E5%9F%8E,
歴史・合戦,,100名城,,2級,中級,3,本能寺の変後、家康が支配・築城し、秀吉の天下統一で秀吉の支配下になり、関ヶ原の戦いで再び徳川の領地となり、戊辰戦争では無血開城した城はどこか。,"名古屋城,駿府城,甲府城,小田原城",甲府城,公式,甲府城（舞鶴城）は武田氏滅亡後に家康が整備し、天下統一後に秀吉の支配下に。関ヶ原後に再び徳川領となり、戊辰戦争では甲府藩が勤王側に転じて無血開城した。,OK,「武田氏滅亡後に徳川家康が整備し、豊臣秀吉の天下統一後に秀吉の支配下に置かれた。関ヶ原の戦い後に再び徳川領となり、幕末まで徳川一門が城主を務めた」 --- 出典: https://ja.wikipedia.org/wiki/%E7%94%B2%E5%BA%9C%E5%9F%8E,
櫓・御殿,,100名城,,2級,中級,3,伏見城から移築されたとされる伏見櫓のある城は各地にあるが、伏見櫓がないのはどれか。,"名古屋城,福山城,江戸城,大坂城",名古屋城,公式,伏見城（桃山城）の遺構は各地に移築されたとされ、福山城の伏見櫓・江戸城の伏見櫓・大坂城の伏見門などに伝承がある。名古屋城に伏見櫓と呼ばれる遺構はない。,OK,伏見城から移築されたとされる伏見櫓は、大坂城・江戸城・福山城（備後国）などに存在する。名古屋城に「伏見櫓」と呼ばれる遺構はない --- 出典: https://ja.wikipedia.org/wiki/%E4%BC%8F%E8%A6%8B%E6%AB%93,
歴史・合戦,高天神城,続100名城,,2級,中級,3,武田軍と徳川軍が激しい争奪戦を繰り広げた高天神城に関する記述で、間違いはどれか。,"高天神を制すれば遠江を制するといわれた,武田勝頼が攻略した,武田信玄が攻略した,今川氏の支城だった",武田信玄が攻略した,公式,高天神城を攻略したのは武田勝頼（天正2年・1574年）で、武田信玄ではない。信玄も2度攻めたが落とせなかった堅城で「高天神を制すれば遠江を制す」といわれた。,OK,「天正2年（1574年）に高天神城を攻撃、猛攻を加えて結果二ノ丸が落城した」「信玄でも陥とせなかった高天神城を落城させたことは、当時の武田勝頼の武名を大きく上げることとなった」 --- 出典: https://ja.wikipedia.org/wiki/%E9%AB%98%E5%A4%A9%E7%A5%9E%E5%9F%8E,
石垣,姫路城,100名城,現存12天守,2級,中級,3,姫路城内で一番高い石垣は帯櫓の高石垣だが高さはどの程度あるか。,"約13ｍ,約23ｍ,約33ｍ,約40ｍ",約23ｍ,公式,姫路城の帯の櫓下の高石垣は高さ約23mで姫路城内最高。反りを持つ扇の勾配と算木積みが特徴で、姫路城を代表する石垣景観の一つとなっている。,OK,「帯の櫓は約23mの石垣の上にコの字型に建てられている」 --- 出典: https://ja.wikipedia.org/wiki/%E5%A7%AB%E8%B7%AF%E5%9F%8E,
門・橋,姫路城,100名城,現存12天守,2級,中級,3,姫路城の門で一番小さな門はどれか。,"水の一門,菱の門,いの門,ほの門",ほの門,公式,「ほの門」は姫路城内で最も小さな門。石垣の下の土塀を切り欠いた埋門で、極端に狭い構造が特徴。姫路城の門はいろは順に「いの門」から「りの門」まで多数命名されており、ほの門はそのうちの一つ。,OK,「内部は、いの門・ろの門などいろは順に名付けられた門などによって水曲輪・腰曲輪・帯曲輪などの曲輪に細かく区切られている」「りの門があり帯曲輪と上山里曲輪を区切っている」「るの門から進むのが（天守への）近道」など、ほを超えた門も多数存在する --- 出典: https://ja.wikipedia.org/wiki/%E5%A7%AB%E8%B7%AF%E5%9F%8E,「ほの門」は姫路城内で最も小さな門。石垣の下の土塀を切り欠いた埋門で、極端に狭い構造が特徴。姫路城の門はいろは順に「いの門」から「りの門」まで多数命名されており、ほの門はそのうちの一つ。
地理・分類,彦根城,100名城,現存12天守,2級,中級,3,彦根城には国宝1件、重要文化財5件の遺構があるが、他の城郭にはない重要文化財がある。それはどれか。,"望楼型天守,登り石垣,馬屋,大名庭園",馬屋,公式,彦根城の馬屋は城郭の付属施設として現存する全国唯一の遺構で重要文化財。約20頭を収容できる規模で、江戸時代の城郭機能を伝える極めて貴重な建築物。,OK,「馬屋は重要文化財に指定されるほか、城郭内の馬屋としては全国唯一の現存例とされる」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BD%A6%E6%A0%B9%E5%9F%8E,
天守,,100名城,現存12天守,2級,中級,3,廃藩置県で個人に売却された天守を、新聞で保存を訴えた町の副戸長が中心となり、博覧会の会場として使用し観覧料や募金などで買い戻しに成功したのはどの城か。,"宇和島城,松本城,姫路城,犬山城",松本城,公式,松本城天守は廃藩置県後に競売で個人に売却されたが、戸長・市川量造らが保存を呼びかけた。明治6年（1873年）の筑摩県博覧会（筑摩県管下第1回松本博覧会）に天守を活用し、入場料と募金で買い戻しに成功した。,OK,「明治6年に筑摩県管下第1回松本博覧会を開催し、松本城天守の入場料収入で天守を買い戻した」（博覧会は明治6年・1873年、解説の明治11年は誤り）「戸長を務めた市川量造らが保存を呼びかけた」（Wikipediaでは副戸長でなく戸長） --- 出典: https://ja.wikipedia.org/wiki/%E6%9D%BE%E6%9C%AC%E5%9F%8E 、https://ja.wikipedia.org/wiki/%E5%B8%82%E5%B7%9D%E9%87%8F%E9%80A0,松本城天守は廃藩置県後に競売で個人に売却されたが、戸長・市川量造らが保存を呼びかけた。明治6年（1873年）の筑摩県博覧会（筑摩県管下第1回松本博覧会）に天守を活用し、入場料と募金で買い戻しに成功した。
城主・人物,二条城,100名城,,2級,中級,3,二条城へ行幸された後水尾天皇の中宮和子は、ときの将軍・徳川家光とはどんな間柄であったか。,"妹,叔母,姉,娘",妹,公式,徳川和子（まさこ）は2代将軍・秀忠の娘で3代将軍・家光の妹。後水尾天皇の中宮となり、寛永3年（1626年）の天皇の二条城行幸は徳川氏と朝廷の関係を示す政治的な儀礼だった。,OK,「徳川和子は2代将軍・徳川秀忠の娘で、3代将軍・家光の妹。後水尾天皇に入内して中宮となった」 --- 出典: https://ja.wikipedia.org/wiki/%E5%BE%B3%E5%B7%9D%E5%92%8C%E5%AD%90,
歴史・合戦,,,,2級,中級,3,中世の山城で、信濃東北部で最大の勢力を誇り、武田信玄と争った村上氏の居城はどれか。,"海津城,葛山城,名胡桃城,葛尾城",葛尾城,公式,葛尾城（長野県坂城町）は信濃の雄・村上義清の居城。武田信玄が2度攻めたが落とせず、最終的に天文22年（1553年）に信玄に敗れた義清は越後の上杉謙信を頼った。,OK,「天文22年（1553年）に葛尾城は自落し、村上義清は越後の上杉謙信に身を寄せた」 --- 出典: https://ja.wikipedia.org/wiki/%E8%91%9B%E5%B0%BE%E5%9F%8E,
